group	treatment	value
A	M	6.507073094
A	M	6.534104586
A	M	6.433434424
A	M	6.702642707
A	M	5.113099273
B	M	6.921433032
B	M	6.651490184
B	M	6.922964936
B	M	6.566556609
B	M	5.451917829
C	M	6.451917829
C	M	6.823755036
C	M	6.853461962
C	M	7.070619492
D	M	6.87957972
D	M	7.447370202
D	M	7.150887834
D	M	7.113099273
A	F	4.593498237
A	F	4.781400457
A	F	4.210009286
A	F	4.295721399
A	F	5.548827842
A	F	5.722499627
A	F	5.254976431
A	F	5.451917829
B	F	5.383460449
B	F	5.419036603
B	F	5.681834201
B	F	5.724919102
B	F	5.586917892
B	F	6.23307459
B	F	6.18564994
B	F	6.082430453
C	F	5.451917829
C	F	5.159842676
C	F	5.025949097
C	F	5.559551708
C	F	6.490835896
C	F	6.308495687
C	F	6.44277445
C	F	6.451917829
D	F	6.791865891
D	F	6.689754684
D	F	6.702642707
D	F	6.645737855
D	F	6.791865891
D	F	6.844394942
D	F	6.761902668
D	F	6.882946361
